Teks,label,Teks_bersih
"Jika anda bermasalah dgn CC/KT@, stres dgn bunga, pelunasan disc s/d 75%. Hub: ATY 082134976289(wa)/087888869297. LEGAL",1,masalah dgn cckt stres dgn bunga lunas disc sd hub aty wa legal
"Lelah byr min payment? Kami Solusinya, bantu secara LEGAL penutupan CC/KTA, dscn 50-75%. Hub.LoLyta 081316523061/087822962308 (WA). LEGAL",1,lelah byr min payment solusi bantu legal tutup cckta dscn hublolyta wa legal
"Bisa Dgn BPKB rate 0.99% 3 hari CAIR . hub AYU 081584650877 (WA).mhn maaf bila menggangu""",1,dgn bpkb rate hari cair hub ayu wamhn maaf bila menggangu
"“ROXI CELL” Hanya dengan Rp.100rb Anda bisa jadi agen pulsa elektrik ke semua Operator GSM/CDMA,v5=4300,v10=8300,Utk daftar ketik MTRONIK kirim ke 087870870707",1, roxi cell  rprb jadi agen pulsa elektrik semua operator gsmcdmavvutk daftar ketik mtronik kirim
3 RAMADHAN Selamat Anda Pemenang Rp.100jt. PIN CODE 7Y7R8K9Z Info: www.hadiah-3ramadhan.blogspot.com   ,1,ramadhan selamat menang rpjt pin code yrkz info wwwhadiahramadhanblogspotcom
Anda brminat cash&kredit mtor scond brg istmwa tipe&merk apa sj.dsini mnyediakn 50 unit dr thn 2004 keatas hub 087739124242/085743146233 MS DEDIKTP luar yk bs.,1,brminat cashkredit mtor scond brg istmwa tipemerk apa sjdsini mnyediakn unit dr thn atas hub ms dediktp luar yk bs
ANDA MAU MENANG TOGEL 100% Tembus pasang shio 7 tunggal angka 07.31.19.43....ingat maharnya pulsa 100rb dikirim ke no 0823...xxx khusus putaran SGP SENIN,1,mau menang togel tembus pasang shio tunggal angka ingat mahar pulsa rb kirim no xxx khusus putar sgp senin
Anda mempunyai 3 pesan suara dari 083139195872; untuk mendengarkan pesan suara anda silahkan tekan *886*10000*083139195872# tekan OK/YA. Bebas biaya. Terima kasih,1,punya pesan suara dengar pesan suara silah tekan tekan okya bebas biaya terima kasih
Anda pmain togel sring kalah.mau bagi hasil. MBAH JOKO bisah mbntu anda SIO/ANGKA dari RETUWAL Berminat. Hub : MBAH JOKO.di. 085217984299 Dijamin 100% tembus,1,pmain togel sring kalahmau hasil mbah joko bisah mbntu sioangka retuwal minat hub mbah jokodi jamin tembus
"ANEKA SHOP Berbagi Promo Type Blackberry DAKOTA 2,4 jt, TOURCH 1,7 jt, ONIX.2 1,5 jt, GEMINI 800 rb, U/Pemesanan 085325557999 Pin BB-2A96DE82 www.aneka999.blogspot.com",1,aneka shop bagi promo type blackberry dakota jt tourch jt onix jt gemini rb upemesanan pin bbade wwwanekablogspotcom
Anyonghaseyo! Ngaku KPOPers Sejati?? Ayo lengkapi koleksi Video Kpopmu di http://kpop.xl.co.id. Skrg Harga video lebih murah loh! Info*123*2200#,1,anyonghaseyo ngaku kpopers sejati ayo lengkap koleksi video kpopmu httpkpopxlcoid skrg harga video lebih murah loh info
"Artha Cell diskon Brg elektronik BB Dakota 3 juta BB Onyx3 2,8 jt Camera DLL HUB Sms ke : 085335875777 Pin BB 28BDDF4D www.arthajaya-cell.blogspot.com",1,artha cell diskon brg elektronik bb dakota juta bb onyx jt camera hub sms pin bb bddfd wwwarthajayacellblogspotcom
"Ass, mengenai rumah dan tanah yg kemarin, sy sdah survei, sy mrasa cocok, untuk nego harga hubungi atau sms suami saya, pak. haji. dermawan; 085796022225.",1,ass kena rumah tanah yg kemarin sy sdah survei sy mrasa cocok nego harga hubung sms suami pak haji dermawan
